ID;dart;x;y;z
430;3332;-0.130527;-0.25;0.991445
532;4148;0.866025;0.25;0.5
432;3348;-0.158787;-0.125;1.2061
435;3372;0;0.216506;1.125
436;3380;0;0.25;1
438;3396;0;0.125;0.783494
440;3412;0;-0.125;0.783494
442;3428;0;-0.25;1
547;4268;0.69291;-0;0.287013
446;3460;0.158786;0.125;1.2061
192;1428;-0.465537;-0.125;-1.1239
451;3500;0.097895;-0;0.743584
453;3516;0.11421;-0.216506;0.867514
454;3524;0.130526;-0.25;0.991445
456;3540;0.158786;-0.125;1.2061
457;3554;0.323523;-0;1.20741
15;52;0.776791;-0.125;-0.102266
462;3588;0.202783;0.125;0.756797
464;3604;0.202783;-0.125;0.756797
466;3620;0.258819;-0.25;0.965926
314;2404;-1.17506;0.125;0.314855
112;788;0.382684;0.25;-0.923879
469;3650;0.478355;-0;1.15485
479;3724;0.430519;-0.216506;1.03936
471;3660;0.430519;0.216506;1.03936
476;3700;0.29983;-0.125;0.723854
431;3340;-0.146843;-0.216506;1.11538
480;3732;0.465537;-0.125;1.1239
481;3746;0.625;-0;1.08253
499;3884;0.456571;-0;0.595015
487;3788;0.375;-0;0.649519
288;2196;-1.2061;-0.125;-0.158786
395;3052;-0.5625;-0.216506;0.974279
488;3796;0.391747;-0.125;0.678525
489;3804;0.4375;-0.216506;0.757772
491;3820;0.5625;-0.216506;0.974279
492;3828;0.608253;-0.125;1.05352
147;1068;0;0.216506;-1.125
494;3844;0.740562;0.125;0.96512
531;4140;0.974279;0.216506;0.5625
498;3876;0.476961;0.125;0.621587
117;828;0.334848;-0.216506;-0.808394
501;3900;0.532666;-0.216506;0.694184
502;3908;0.608761;-0.25;0.793353
249;1884;-0.757772;-0.216506;-0.4375
292;2228;-1;0.25;0
503;3916;0.684856;-0.216506;0.892523
478;3716;0.382684;-0.25;0.923879
504;3924;0.740562;-0.125;0.96512
505;3938;0.883883;-0;0.883884
510;3972;0.554013;0.125;0.554014
512;3988;0.554013;-0.125;0.554014
514;4004;0.707106;-0.25;0.707107
71;460;0.892523;-0.216506;-0.684856
515;4012;0.795495;-0.216506;0.795496
354;2724;-0.621587;0.125;0.476961
519;4044;0.892523;0.216506;0.684856
522;4068;0.621587;0.125;0.476961
524;4084;0.621587;-0.125;0.476961
525;4092;0.694184;-0.216506;0.532666
528;4116;0.965119;-0.125;0.740562
30;132;0.756797;0.125;-0.202783
320;2452;-0.756797;-0.125;0.202783
529;4130;1.08253;-0;0.625
534;4164;0.678525;0.125;0.391747
92;628;0.476961;-0.125;-0.621587
537;4188;0.757772;-0.216506;0.4375
118;836;0.382684;-0.25;-0.923879
538;4196;0.866025;-0.25;0.5
