ID;dart
440;1707
227;853
821;3229
999;3941
823;3237
827;3253
546;2131
977;3853
828;3259
829;3265
831;3269
488;1899
832;3275
834;3283
657;2573
1093;4321
835;3285
446;1731
837;3293
838;3299
842;3315
796;3131
843;3317
845;3325
1049;4141
850;3347
851;3349
852;3355
856;3371
538;2099
857;3373
860;3387
859;3381
71;229
861;3389
202;755
867;3413
459;1781
868;3419
877;3457
878;3459
519;2021
879;3461
883;3477
887;3493
1075;4245
888;3499
890;3507
1112;4395
891;3509
895;3525
955;3765
899;3541
902;3555
903;3557
186;691
905;3565
1024;4043
907;3573
884;3483
1095;4325
908;3579
911;3589
917;3613
920;3627
558;2179
922;3635
527;2053
925;3649
926;3651
930;3667
470;1827
932;3675
222;835
933;3677
398;1539
1036;4091
600;2347
940;3707
942;3715
945;3725
1091;4309
946;3731
327;1253
947;3733
951;3749
959;3781
1056;4171
7;15
962;3795
963;3797
120;427
1074;4243
974;3843
814;3203
975;3845
979;3861
982;3875
400;1547
984;3883
985;3885
360;1387
118;419
986;3891
991;3909
992;3915
1051;4149
993;3917
772;3035
994;3923
997;3937
1000;3947
637;2497
779;3061
1003;3957
1006;3971
494;1923
1009;3981
1017;4013
1019;4021
1020;4027
619;2421
671;2629
1022;4035
1104;4363
1023;4037
406;1571
1025;4045
1065;4205
1029;4061
1032;4075
1033;4077
1034;4083
1035;4085
1037;4093
1039;4101
1041;4109
1042;4115
1046;4131
1055;4165
1130;4467
939;3701
1063;4197
1064;4203
1066;4211
1068;4219
1070;4227
1077;4253
133;481
1080;4267
1084;4283
197;733
1085;4285
228;859
1086;4291
1002;3955
1088;4299
1089;4301
713;2797
1094;4323
414;1603
1097;4333
950;3747
1098;4339
1099;4341
1105;4365
1108;4379
